SlNo,Team Name
1,Stack Overflow
2,NeumannCodes
3,LEVEL UP
4,BACODERS
5,DEBUGGERS
6,CODE CRASHERS
7,Alibaba Ke Chaar Coders
8,Chaudah
9,TearHackx
10,Code Smashers
11,VENETIA
12,INNOVATRIX
13,TOKNS
14,Code Crushers
15,Hack' Em
16,Git Got Grit 
17,The Innovators 
18,Highlanders
19,Hackaholic
20,Foxmania
21,Slayer
22,Cipher Crew
23,Quantum Glitch
24,Kasukabe Hackerz
25,Codo_holics
26,Big Oh
27,ChipMunks
28,Altair
29,Inglorious Coders
30,ELITE
31,StrawHats
32,WISDOM WEAVE
33,Bitwise
34,TeamF9
35,Nexus
36,The Witty Fours
37,Team XIL
38,BitAlchemy
39,FIBAL
40,Tech Titans 
41,INX
42,CodeAstra
43,NASA
44,NeuralNexus
45,VAAS
46,Vox
47,4Dev
48,Code Waave 
49,Bits & Bytes
50,CodeCrew 
51,TeamZ
52,CodeX
